Record_ID,Address,Postal_Code,X,Y,Fixed_Unit_Sequence,Sector,Demand,Service_Time,Extra_Time,Zone_Priority,zoneType,Route,Sequence
2123361,Tulolantie 6 A 7,84100,24.54902354,64.07414935,7,84100232,1,0.003083333,0,84100232,N,8410023,1280
2123362,Tulolantie 6 A 8,84100,24.54902354,64.07414935,8,84100232,1,0.003083333,0,84100232,N,8410023,1290
427374,Tulolantie 9 D 23,84100,24.54794891,64.07284775,1,84100231,1,0.004666667,0.003,84100231,N,8410023,1010
427375,Tulolantie 9 D 24,84100,24.54794891,64.07284775,2,84100231,1,0.004666667,0,84100231,N,8410023,1020
427376,Tulolantie 9 D 25,84100,24.54794891,64.07284775,3,84100231,1,0.004666667,0,84100231,N,8410023,1030
427377,Tulolantie 9 D 26,84100,24.54794891,64.07284775,4,84100231,1,0.004666667,0,84100231,N,8410023,1040
427378,Tulolantie 9 D 27,84100,24.54794891,64.07284775,5,84100231,1,0.004666667,0,84100231,N,8410023,1050
427379,Tulolantie 9 D 28,84100,24.54794891,64.07284775,6,84100231,1,0.004666667,0,84100231,N,8410023,1060
427380,Tulolantie 9 D 29,84100,24.54794891,64.07284775,7,84100231,1,0.004666667,0,84100231,N,8410023,1070
427381,Tulolantie 9 C 16,84100,24.54839297,64.07292704,1,84100231,1,0.004666667,0.003,84100231,N,8410023,940
427382,Tulolantie 9 C 17,84100,24.54839297,64.07292704,2,84100231,1,0.004666667,0,84100231,N,8410023,950
427383,Tulolantie 9 C 18,84100,24.54839297,64.07292704,3,84100231,1,0.004666667,0,84100231,N,8410023,960
4932677,Kotikartano 4 A 9,84100,24.54714871,64.07448573,10,84100232,1,0.004666667,0,84100232,N,8410023,1750
4932676,Kotikartano 4 A 10,84100,24.54714871,64.07448573,11,84100232,1,0.004666667,0,84100232,N,8410023,1760
482455,Kotikartano 4 A 11,84100,24.54714871,64.07448573,12,84100232,1,0.004666667,0,84100232,N,8410023,1770
482456,Kotikartano 4 A 12,84100,24.54714871,64.07448573,13,84100232,1,0.004666667,0,84100232,N,8410023,1780
482457,Kotikartano 4 A 13,84100,24.54714871,64.07448573,14,84100232,1,0,0,84100232,N,8410023,1790
482458,Kotikartano 4 A 14,84100,24.54714871,64.07448573,15,84100232,1,0,0,84100232,N,8410023,1800
482459,Kotikartano 4 A 15,84100,24.54714871,64.07448573,16,84100232,1,0,0,84100232,N,8410023,1810
482460,Kotikartano 4 A 16,84100,24.54714871,64.07448573,17,84100232,1,0,0,84100232,N,8410023,1820
482461,Kotikartano 4 A 17,84100,24.54714871,64.07448573,18,84100232,1,0,0,84100232,N,8410023,1830
482462,Kotikartano 4 A 18,84100,24.54714871,64.07448573,19,84100232,1,0,0,84100232,N,8410023,1840
482463,Kotikartano 4 A 19,84100,24.54714871,64.07448573,20,84100232,1,0,0,84100232,N,8410023,1850
482464,Kotikartano 4 A 20,84100,24.54714871,64.07448573,21,84100232,1,0,0,84100232,N,8410023,1860
482465,Kotikartano 4 A 21,84100,24.54714871,64.07448573,22,84100232,1,0,0,84100232,N,8410023,1870
482466,Kotikartano 4 A 22,84100,24.54714871,64.07448573,23,84100232,1,0,0,84100232,N,8410023,1880
482467,Kotikartano 4 A 23,84100,24.54714871,64.07448573,24,84100232,1,0,0,84100232,N,8410023,1890
482468,Kotikartano 4 A 24,84100,24.54714871,64.07448573,25,84100232,1,0,0,84100232,N,8410023,1900
482469,Kotikartano 4 A 25,84100,24.54714871,64.07448573,26,84100232,1,0,0,84100232,N,8410023,1910
482470,Kotikartano 4 A 26,84100,24.54714871,64.07448573,27,84100232,1,0,0,84100232,N,8410023,1920
5887459,Kotikartano 4 A 27,84100,24.54714871,64.07448573,28,84100232,1,0,0,84100232,N,8410023,1930
4596257,Kotikartano 4 A 28,84100,24.54714871,64.07448573,29,84100232,1,0,0,84100232,N,8410023,1940
3750456,Kotikartano 4 A 31,84100,24.54714871,64.07448573,30,84100232,1,0.004666667,0,84100232,N,8410023,1950
3750457,Kotikartano 4 A 32,84100,24.54714871,64.07448573,31,84100232,1,0.004666667,0,84100232,N,8410023,1960
3750458,Kotikartano 4 A 34,84100,24.54714871,64.07448573,32,84100232,1,0.004666667,0,84100232,N,8410023,1970
3750459,Kotikartano 4 A 35,84100,24.54714871,64.07448573,33,84100232,1,0.004666667,0,84100232,N,8410023,1980
3750460,Kotikartano 4 A 36,84100,24.54714871,64.07448573,34,84100232,1,0.004666667,0,84100232,N,8410023,1990
3750461,Kotikartano 4 A 33,84100,24.54714871,64.07448573,35,84100232,1,0.004666667,0,84100232,N,8410023,2000
3750453,Kotikartano 3 D 1,84100,24.54629277,64.07465977,1,84100232,1,0.002,0.003,84100232,N,8410023,2100
5523999,Kotikartano 2,84100,24.54547077,64.07444844,1,84100233,1,0,0,84100233,N,8410023,2710
627403,Kotikartano 2 A 1,84100,24.54547077,64.07444844,2,84100233,1,0,0,84100233,N,8410023,2720
627402,Kotikartano 2 A 2,84100,24.54547077,64.07444844,3,84100233,1,0,0,84100233,N,8410023,2730
427402,Tulolantie 10 B 15,84100,24.55099991,64.07335691,4,84100231,1,0.004666667,0,84100231,N,8410023,540
427403,Tulolantie 10 B 16,84100,24.55099991,64.07335691,5,84100231,1,0.004666667,0,84100231,N,8410023,550
427404,Tulolantie 10 B 17,84100,24.55099991,64.07335691,6,84100231,1,0.004666667,0,84100231,N,8410023,560
1633187,Tulolantie 8 B 13,84100,24.55033378,64.0737047,1,84100232,1,0.004666667,0,84100232,N,8410023,1420
1633188,Tulolantie 8 B 16,84100,24.55033378,64.0737047,2,84100232,1,0.004666667,0,84100232,N,8410023,1430
1633189,Tulolantie 8 B 15,84100,24.55033378,64.0737047,3,84100232,1,0.004666667,0,84100232,N,8410023,1440
1633190,Tulolantie 8 B 14,84100,24.55033378,64.0737047,4,84100232,1,0.004666667,0,84100232,N,8410023,1450
1633191,Tulolantie 8 B 19,84100,24.55033378,64.0737047,5,84100232,1,0.004666667,0,84100232,N,8410023,1460
1633192,Tulolantie 8 B 18,84100,24.55033378,64.0737047,6,84100232,1,0.004666667,0,84100232,N,8410023,1470
