Reittitunnus	Nimi	Japi_id	Pono	Jakelukohde	Elementtinumero	KRD_Vyohyke	I_koordinatti	P_koordinatti	Japityyppi	Matkajapille	Hissi	Kerros	jnro	Jakti Internal Sequence
6210010	Kirkkokatu 6 D 34	437889	62100	186317	244733	3	3297473	6991276	4062	0			720	9
6210010	Kirkkokatu 6 D 35	4001742	62100	186317	244733	3	3297473	6991276	4062	0			730	10
6210010	Kirkkokatu 6 D 23	5164741	62100	186317	244733	3	3297504	6991263	4062	0			690	1
6210010	Kirkkokatu 5	437919	62100	186322	244733	3	3297368	6991302	4071	0			750	1
6210010	Kirkkokatu 8	437890	62100	186318	244733	3	3297392	6991282	4062	0			770	1
6210010	Kirkkokatu 8 A 1	437891	62100	186318	244733	3	3297392	6991282	4062	0			780	2
6210010	Kirkkokatu 8 A 2	437892	62100	186318	244733	3	3297392	6991282	4062	0			790	3
6210010	Kirkkokatu 8 A 3	437893	62100	186318	244733	3	3297392	6991282	4062	0			800	4
6210010	Kirkkokatu 8 A 5	437894	62100	186318	244733	3	3297392	6991282	4062	0			810	5
6210010	Kirkkokatu 8 A 6	437895	62100	186318	244733	3	3297392	6991282	4062	0			820	6
6210010	Kirkkokatu 8 A 4	437896	62100	186318	244733	3	3297392	6991282	4062	0			830	7
6210010	Kirkkokatu 8 A 5	437897	62100	186318	244733	3	3297392	6991282	4062	0			840	8
6210010	Kirkkokatu 8 A 6	437898	62100	186318	244733	3	3297392	6991282	4062	0			850	9
6210010	Kirkkokatu 8 A 7	3999745	62100	186318	244733	3	3297392	6991282	4062	0			860	10
6210010	Kirkkokatu 8 A 8	3999746	62100	186318	244733	3	3297392	6991282	4062	0			870	11
6210010	Kirkkokatu 8 A 9	3999747	62100	186318	244733	3	3297392	6991282	4062	0			880	12
6210010	Kirkkokatu 8 B 10	437899	62100	186319	244733	3	3297374	6991282	4062	0			900	1
6210010	Kirkkokatu 8 B 11	437900	62100	186319	244733	3	3297374	6991282	4062	0			910	2
6210010	Kirkkokatu 8 B 12	437901	62100	186319	244733	3	3297374	6991282	4062	0			920	3
6210010	Kirkkokatu 8 B 13	437902	62100	186319	244733	3	3297374	6991282	4062	0			930	4
6210010	Kirkkokatu 8 B 14	437903	62100	186319	244733	3	3297374	6991282	4062	0			940	5
6210010	Kirkkokatu 8 B 15	437904	62100	186319	244733	3	3297374	6991282	4062	0			950	6
6210010	Kirkkokatu 8 B 16	437905	62100	186319	244733	3	3297374	6991282	4062	0			960	7
6210010	Kirkkokatu 8 B 17	437906	62100	186319	244733	3	3297374	6991282	4062	0			970	8
6210010	Kirkkokatu 8 B 18	437907	62100	186319	244733	3	3297374	6991282	4062	0			980	9
6210010	Kirkkokatu 8 C 19	437908	62100	186320	244733	3	3297358	6991282	4062	0			1000	1
6210010	Kirkkokatu 8 C 20	437909	62100	186320	244733	3	3297358	6991282	4062	0			1010	2
6210010	Kirkkokatu 8 C 21	437910	62100	186320	244733	3	3297358	6991282	4062	0			1020	3
6210010	Kirkkokatu 8 C 22	437911	62100	186320	244733	3	3297358	6991282	4062	0			1030	4
6210010	Kirkkokatu 8 C 23	437912	62100	186320	244733	3	3297358	6991282	4062	0			1040	5
6210010	Kirkkokatu 8 C 24	437913	62100	186320	244733	3	3297358	6991282	4062	0			1050	6
6210010	Kirkkokatu 8 C 25	437914	62100	186320	244733	3	3297358	6991282	4062	0			1060	7
6210010	Kirkkokatu 8 C 26	437915	62100	186320	244733	3	3297358	6991282	4062	0			1070	8
6210010	Kirkkokatu 8 C 27	437916	62100	186320	244733	3	3297358	6991282	4062	0			1080	9
6210010	Kirkkokatu 8	437920	62100	186323	244733	3	3297343	6991282	4071	0			1100	1
6210010	Härsiläntie 3	2333758	62100	1086432	726998	3	3297303	6991355	4071	0			1130	1
6210010	Härsiläntie 5	2333757	62100	1086432	726998	3	3297303	6991355	4071	0			1140	2
6210010	Härsiläntie 9 F 19	3490728	62100	2702119	726998	3	3297283	6991493	4071	0			1160	1
6210010	Härsiläntie 9 F 20	3490727	62100	2702119	726998	3	3297283	6991493	4071	0			1170	2
6210010	Härsiläntie 9 G 21	3490726	62100	2702119	726998	3	3297283	6991493	4071	0			1180	3
6210010	Härsiläntie 9 G 22	3490725	62100	2702119	726998	3	3297283	6991493	4071	0			1190	4
6210010	Härsiläntie 9 G 23	3490724	62100	2702119	726998	3	3297283	6991493	4071	0			1200	5
6210010	Härsiläntie 9 G 24	3490723	62100	2702119	726998	3	3297283	6991493	4071	0			1210	6
6210010	Härsiläntie 9 G 25	3490722	62100	2702119	726998	3	3297283	6991493	4071	0			1220	7
6210010	Härsiläntie 9 G 26	3490721	62100	2702119	726998	3	3297283	6991493	4071	0			1230	8
6210010	Härsiläntie 9 H 27	3490720	62100	2702119	726998	3	3297283	6991493	4071	0			1240	9
6210010	Härsiläntie 9 H 28	3490719	62100	2702119	726998	3	3297283	6991493	4071	0			1250	10
6210010	Härsiläntie 9 H 29	3490718	62100	2702119	726998	3	3297283	6991493	4071	0			1260	11
6210010	Härsiläntie 9 H 30	3490717	62100	2702119	726998	3	3297283	6991493	4071	0			1270	12
